Date	USD (AM)	USD (PM)	GBP (AM)	GBP (PM)	EURO (AM)	EURO (PM)
2014-01-02	1219.75	1225.0	737.054	745.406	888.838	897.436
2014-01-03	1232.25	1234.5	748.451	752.56	903.012	907.52
2014-01-06	1238.0	1246.25	756.539	758.937	909.558	914.209
2014-01-07	1237.5	1227.5	754.435	748.887	907.924	901.182
2014-01-08	1226.5	1221.0	747.365	742.069	902.502	897.596
2014-01-09	1226.0	1226.0	744.972	744.972	900.61	903.464
2014-01-10	1232.25	1244.25	750.777	754.137	906.533	909.672
2014-01-13	1246.0	1248.0	757.861	762.557	911.885	914.152
2014-01-14	1248.75	1251.5	760.969	761.948	913.096	915.107
2014-01-15	1238.0	1236.0	753.913	757.214	908.557	909.961
2014-01-16	1237.25	1241.5	757.191	758.261	908.607	910.391
2014-01-17	1241.0	1250.0	754.683	760.526	912.634	920.946
2014-01-20	1254.75	1255.75	763.323	764.117	925.878	926.001
2014-01-21	1247.75	1238.0	758.926	751.807	922.005	914.733
2014-01-22	1239.5	1241.0	749.667	749.125	915.571	915.192
2014-01-23	1244.25	1263.0	749.91	760.706	912.876	924.191
2014-01-24	1259.25	1267.0	757.398	768.205	920.437	925.899
2014-01-27	1270.0	1260.5	767.14	760.345	927.82	922.295
2014-01-28	1253.5	1251.25	757.036	754.538	919.123	916.197
2014-01-29	1254.75	1264.0	756.42	762.916	917.886	925.262
2014-01-30	1254.0	1242.5	761.893	752.529	922.194	914.881
2014-01-31	1246.5	1251.0	757.336	759.84	920.538	927.697
2014-02-03	1246.5	1262.0	762.385	771.535	922.582	933.915
2014-02-04	1253.0	1250.25	766.83	767.119	927.187	925.494
2014-02-05	1257.0	1254.5	772.303	770.388	930.353	928.571
2014-02-06	1258.5	1256.5	772.418	769.584	930.637	923.083
2014-02-07	1260.0	1259.25	771.161	768.21	928.724	926.6
2014-02-10	1273.5	1277.0	776.951	779.086	933.856	936.835
2014-02-11	1282.75	1282.0	780.832	779.758	938.094	939.469
2014-02-12	1286.5	1289.5	778.47	778.731	942.836	950.188
2014-02-13	1290.25	1296.0	774.925	779.268	943.648	948.27
2014-02-14	1308.5	1320.0	783.205	789.663	955.598	964.348
2014-02-17	1326.0	1327.5	791.973	794.149	967.601	968.554
2014-02-18	1314.0	1320.75	787.439	790.348	957.586	959.987
2014-02-19	1318.75	1320.5	791.139	791.619	959.091	960.084
2014-02-20	1313.75	1316.25	788.897	789.261	959.222	959.296
2014-02-21	1320.75	1323.25	792.196	791.607	963.629	961.944
2014-02-24	1333.0	1334.75	800.456	804.696	968.539	973.63
2014-02-25	1332.75	1339.0	798.532	801.029	969.484	973.252
2014-02-26	1340.0	1331.75	803.117	799.898	975.326	973.644
2014-02-27	1331.0	1332.25	799.88	799.142	974.806	973.44
2014-02-28	1327.75	1326.5	793.207	793.931	961.65	961.58
2014-03-03	1344.25	1349.5	803.497	807.455	975.579	980.1
2014-03-04	1339.5	1334.75	802.865	800.066	973.899	970.445
2014-03-05	1333.5	1337.0	799.844	799.402	971.939	974.064
2014-03-06	1334.25	1345.25	797.996	804.335	971.565	971.791
2014-03-07	1348.25	1335.25	805.166	797.879	971.222	962.55
2014-03-10	1334.25	1344.0	800.87	807.644	961.552	969.068
2014-03-11	1348.0	1346.25	810.437	809.482	973.566	970.83
2014-03-12	1355.75	1366.0	817.012	822.446	977.469	983.654
2014-03-13	1371.0	1368.75	821.696	820.495	982.303	982.309
2014-03-14	1370.0	1385.0	824.407	833.634	986.463	995.186
2014-03-17	1379.0	1378.5	829.125	828.027	992.372	989.591
2014-03-18	1362.5	1355.75	820.487	819.036	979.37	975.921
2014-03-19	1346.0	1338.0	809.721	804.957	967.162	962.036
2014-03-20	1327.0	1327.0	802.783	804.633	962.641	963.619
2014-03-21	1338.5	1336.0	810.573	809.795	970.209	967.695
2014-03-24	1322.0	1310.75	801.941	795.503	960.337	951.474
2014-03-25	1314.75	1313.5	796.866	794.808	951.821	952.226
2014-03-26	1314.5	1304.0	794.98	787.249	952.743	945.339
